Player,Position,Team,Birthday,InjuryStatus
Mitchell Robinson,C,NY,1998/04/01,Healthy
Derrick Rose,PG,NY,1988/10/04,Healthy
Jericho Sims,C,NY,1998/10/20,Healthy
Obi Toppin,PF,NY,1998/03/04,Healthy
Darius Bazley,PF,OKC,2000/06/12,Healthy
Ousmane Dieng,F,OKC,2003/05/21,Healthy
Luguentz Dort,SF,OKC,1999/04/19,Healthy
Josh Giddey,SG,OKC,2002/10/10,Healthy
Shai Gilgeous-Alexander,PG,OKC,1998/07/12,Day-To-Day
Chet Holmgren,PF,OKC,2002/05/01,Out
Isaiah Joe,SG,OKC,1999/07/02,Healthy
Tre Mann,PG,OKC,2001/02/03,Healthy
Mike Muscala,C,OKC,1991/07/01,Out
Eugene Omoruyi,F,OKC,1997/02/14,Healthy
Aleksej Pokusevski,F,OKC,2001/12/26,Healthy
Jeremiah Robinson-Earl,PF,OKC,2000/11/03,Healthy
Lindy Waters III,F,OKC,1997/07/28,Healthy
Aaron Wiggins,SG,OKC,1999/01/02,Healthy
Jalen Williams,F,OKC,2001/04/14,Healthy
Jaylin Williams,F,OKC,2002/06/29,Healthy
Kenrich Williams,SF,OKC,1994/12/02,Healthy
Cole Anthony,PG,ORL,2000/05/15,Healthy
Mo Bamba,C,ORL,1998/05/12,Day-To-Day
Paolo Banchero,PF,ORL,2002/11/12,Healthy
Bol Bol,C,ORL,1999/11/16,Healthy
Wendell Carter Jr.,C,ORL,1999/04/16,Out
Markelle Fultz,PG,ORL,1998/05/29,Healthy
R.J. Hampton,PG,ORL,2001/02/07,Healthy
Gary Harris,SG,ORL,1994/09/14,Healthy
Kevon Harris,G,ORL,1997/06/24,Healthy
Caleb Houstan,F,ORL,2003/01/09,Healthy
Jonathan Isaac,PF,ORL,1997/10/03,Out
Chuma Okeke,PF,ORL,1998/08/18,Out
Terrence Ross,SG,ORL,1991/02/05,Healthy
Admiral Schofield,SF,ORL,1997/03/30,Healthy
Jalen Suggs,SG,ORL,2001/06/03,Out
Franz Wagner,SF,ORL,2001/08/27,Healthy
Moritz Wagner,C,ORL,1997/04/26,Healthy
Julian Champagnie,F,PHI,2001/06/29,Healthy
Joel Embiid,C,PHI,1994/03/16,Healthy
James Harden,SG,PHI,1989/08/26,Out
Montrezl Harrell,C,PHI,1994/01/26,Healthy
Tobias Harris,PF,PHI,1992/07/15,Healthy
Danuel House Jr.,SF,PHI,1993/06/07,Healthy
Furkan Korkmaz,SG,PHI,1997/07/24,Healthy
Saben Lee,G,PHI,1999/06/23,Healthy
Tyrese Maxey,PG,PHI,2000/11/04,Out
De'Anthony Melton,SG,PHI,1998/05/28,Healthy
Shake Milton,SG,PHI,1996/09/26,Healthy
