Player,Position,Team,Birthday,InjuryStatus
Jacob Trouba,D,NYR,1994/02/26,Healthy
Jaroslav Halak,G,NYR,1985/05/13,Healthy
Igor Shesterkin,G,NYR,1995/12/30,Healthy
Derick Brassard,C,OTT,1987/09/22,Healthy
Dylan Gambrell,C,OTT,1996/08/26,Healthy
Mark Kastelic,C,OTT,1999/03/11,Healthy
Josh Norris,C,OTT,1999/05/05,Injured Reserve
Shane Pinto,C,OTT,2000/11/12,Healthy
Parker Kelly,LW,OTT,1999/05/14,Healthy
Tyler Motte,LW,OTT,1995/03/10,Healthy
Tim Stutzle,LW,OTT,2002/01/15,Healthy
Brady Tkachuk,LW,OTT,1999/09/16,Healthy
Austin Watson,LW,OTT,1992/01/13,Healthy
Drake Batherson,RW,OTT,1998/04/27,Healthy
Alex DeBrincat,RW,OTT,1997/12/18,Healthy
Claude Giroux,RW,OTT,1988/01/12,Healthy
Mathieu Joseph,RW,OTT,1997/02/09,Healthy
Jacob Bernard-Docker,D,OTT,2000/06/30,Injured Reserve
Erik Brannstrom,D,OTT,1999/09/02,Healthy
Thomas Chabot,D,OTT,1997/01/30,Healthy
Travis Hamonic,D,OTT,1990/08/16,Healthy
Nick Holden,D,OTT,1987/05/15,Healthy
