Player,Position,Team,Birthday,InjuryStatus
Jalyn Armour-Davis,CB,BAL,1999/09/03,Injured Reserve
Vince Biegel,LB,BAL,1993/07/02,Injured Reserve
Tyus Bowser,LB,BAL,1995/05/23,Healthy
Josh Bynes,LB,BAL,1989/08/24,Healthy
Calais Campbell,DT,BAL,1986/09/01,Healthy
Chuck Clark,S,BAL,1995/04/19,Healthy
Kyle Fuller,CB,BAL,1992/02/16,Injured Reserve
Kyle Hamilton,S,BAL,2001/03/16,Questionable
Malik Harrison,LB,BAL,1998/03/05,Healthy
Daelin Hayes,LB,BAL,1998/05/16,Injured Reserve
Justin Houston,LB,BAL,1989/01/21,Healthy
Marlon Humphrey,CB,BAL,1996/07/08,Healthy
Travis Jones,DT,BAL,1999/10/15,Healthy
Devon Kennard,LB,BAL,1991/06/24,Healthy
Isaiah Mack,DT,BAL,1996/03/19,Healthy
Justin Madubuike,DT,BAL,1997/11/17,Healthy
Steven Means,LB,BAL,1990/09/16,Injured Reserve
Jeremiah Moon,LB,BAL,1998/08/18,Healthy
Rayshad Nichols,DT,BAL,1999/07/09,Healthy
David Ojabo,LB,BAL,2000/05/17,Healthy
Odafe Oweh,LB,BAL,1998/12/15,Healthy
Marcus Peters,CB,BAL,1993/01/09,Healthy
Del'Shawn Phillips,LB,BAL,1996/10/09,Healthy
Michael Pierce,DT,BAL,1992/11/06,Injured Reserve
Jason Pierre-Paul,LB,BAL,1989/01/01,Healthy
Patrick Queen,LB,BAL,1999/08/13,Healthy
Josh Ross,LB,BAL,1999/10/31,Injured Reserve
Kevon Seymour,CB,BAL,1993/11/30,Healthy
Roquan Smith,LB,BAL,1997/04/08,Healthy
Julian Stanford,LB,BAL,1990/09/02,Healthy
Brandon Stephens,CB,BAL,1997/12/29,Healthy
Geno Stone,S,BAL,1999/04/19,Healthy
Brent Urban,DE,BAL,1991/05/05,Healthy
Ar'Darius Washington,S,BAL,1999/11/02,Healthy
Broderick Washington,DT,BAL,1996/12/04,Healthy
Kristian Welch,LB,BAL,1998/05/24,Healthy
Damarion Williams,CB,BAL,1998/07/15,Healthy
Marcus Williams,S,BAL,1996/09/08,Injured Reserve
Daryl Worley,CB,BAL,1995/02/22,Healthy
Nick Moore,LS,BAL,1992/12/09,Healthy
Jordan Stout,P,BAL,1998/08/04,Healthy
Justin Tucker,PK,BAL,1989/11/21,Healthy
Josh Allen,QB,BUF,1996/05/21,Healthy
Alec Anderson,OT,BUF,1999/10/03,Healthy
Matt Barkley,QB,BUF,1990/09/08,Healthy
Ryan Bates,OT,BUF,1997/02/14,Healthy
Ike Boettger,G,BUF,1994/10/05,Out
John Brown,WR,BUF,1990/04/03,Healthy
Spencer Brown,OT,BUF,1998/02/28,Healthy
James Cook,RB,BUF,1999/09/25,Healthy
Isaiah Coulter,WR,BUF,1998/09/18,Healthy
Jamison Crowder,WR,BUF,1993/06/17,Injured Reserve
Zach Davidson,TE,BUF,1998/07/15,Healthy
Gabe Davis,WR,BUF,1999/04/01,Healthy
Dion Dawkins,OT,BUF,1994/04/26,Questionable
Stefon Diggs,WR,BUF,1993/11/29,Healthy
Tommy Doyle,OT,BUF,1998/05/06,Injured Reserve
Tanner Gentry,WR,BUF,1994/12/18,Healthy
Reggie Gilliam,FB,BUF,1997/08/20,Healthy
Bobby Hart,OT,BUF,1994/08/21,Healthy
Nyheim Hines,RB,BUF,1996/11/12,Healthy
Duke Johnson,RB,BUF,1993/09/23,Healthy
KeeSean Johnson,WR,BUF,1996/10/09,Healthy
Taiwan Jones,RB,BUF,1988/07/26,Healthy
Case Keenum,QB,BUF,1988/02/17,Healthy
Dawson Knox,TE,BUF,1996/11/14,Healthy
Jake Kumerow,WR,BUF,1992/02/17,Injured Reserve
Isaiah McKenzie,WR,BUF,1995/04/09,Healthy
Quintin Morris,TE,BUF,1999/01/21,Questionable
Mitch Morse,C,BUF,1992/04/21,Out
Justin Murray,OT,BUF,1993/04/19,Healthy
David Quessenberry,OT,BUF,1990/08/24,Healthy
Rodger Saffold,G,BUF,1988/06/06,Healthy
Khalil Shakir,WR,BUF,2000/02/03,Healthy
Devin Singletary,RB,BUF,1997/09/03,Healthy
Marquez Stevenson,WR,BUF,1998/03/26,Injured Reserve
Tommy Sweeney,TE,BUF,1995/07/01,Healthy
Ryan Van Denmark,OT,BUF,1998/03/22,Healthy
Greg Van Roten,G,BUF,1990/02/26,Healthy
Eli Ankou,DT,BUF,1994/06/08,Healthy
Boogie Basham,DE,BUF,1997/12/16,Healthy
Christian Benford,CB,BUF,2000/09/21,Injured Reserve
Terrel Bernard,LB,BUF,1999/05/07,Healthy
C.J. Brewer,DT,BUF,1997/11/22,Healthy
Tyrel Dodson,LB,BUF,1998/06/25,Healthy
Tremaine Edmunds,LB,BUF,1998/05/02,Out
Kaiir Elam,CB,BUF,2001/05/05,Out
AJ Epenesa,DE,BUF,1998/09/15,Out
Joe Giles-Harris,LB,BUF,1997/04/01,Healthy
Damar Hamlin,S,BUF,1998/03/24,Healthy
Micah Hyde,S,BUF,1990/12/31,Injured Reserve
Ja'Marcus Ingram,CB,BUF,1997/09/02,Healthy
Dane Jackson,CB,BUF,1996/11/29,Healthy
Jaquan Johnson,S,BUF,1995/11/06,Healthy
Taron Johnson,CB,BUF,1996/07/27,Healthy
Kingsley Jonathan,DE,BUF,1998/04/28,Healthy
DaQuan Jones,DT,BUF,1991/12/17,Healthy
A.J. Klein,LB,BUF,1991/07/30,Healthy
Shaq Lawson,DE,BUF,1994/06/17,Healthy
Cam Lewis,CB,BUF,1997/04/13,Healthy
Mike Love,DE,BUF,1994/01/22,Healthy
Dean Marlowe,S,BUF,1992/07/25,Healthy
Tyler Matakevich,LB,BUF,1992/12/22,Healthy
Kyler McMichael,CB,BUF,2000/03/22,Healthy
Matt Milano,LB,BUF,1994/07/28,Healthy
Von Miller,LB,BUF,1989/03/26,Out
Siran Neal,CB,BUF,1994/08/04,Healthy
Ed Oliver,DT,BUF,1997/12/12,Healthy
Jordan Phillips,DT,BUF,1992/09/21,Healthy
Jordan Poyer,S,BUF,1991/04/25,Healthy
Xavier Rhodes,CB,BUF,1990/06/19,Healthy
Greg Rousseau,DE,BUF,2000/04/05,Out
Tim Settle,DT,BUF,1997/07/11,Healthy
Baylon Spector,LB,BUF,1998/10/20,Healthy
Tre'Davious White,CB,BUF,1995/01/16,Healthy
Tyler Bass,PK,BUF,1997/02/14,Healthy
Reid Ferguson,LS,BUF,1994/03/24,Healthy
Sam Martin,P,BUF,1990/02/27,Healthy
Raheem Blackshear,RB,CAR,1998/06/05,Healthy
Bradley Bozeman,C,CAR,1994/11/24,Healthy
Deonte Brown,G,CAR,1998/01/15,Healthy
Spencer Brown,RB,CAR,1998/11/13,Healthy
Brady Christensen,OT,CAR,1996/09/27,Healthy
Larnel Coleman,OT,CAR,1998/06/22,Healthy
Austin Corbett,G,CAR,1995/12/17,Healthy
Matt Corral,QB,CAR,1999/01/31,Injured Reserve
Sam Darnold,QB,CAR,1997/06/05,Healthy
Ikem Ekwonu,OT,CAR,2000/10/31,Healthy
Pat Elflein,G,CAR,1994/07/06,Injured Reserve
Cameron Erving,OT,CAR,1992/08/23,Healthy
D'Onta Foreman,RB,CAR,1996/04/24,Healthy
Rashard Higgins,WR,CAR,1994/10/07,Healthy
Chuba Hubbard,RB,CAR,1999/06/11,Healthy
Michael Jordan,G,CAR,1998/01/25,Healthy
Terrace Marshall Jr.,WR,CAR,2000/06/09,Healthy
Baker Mayfield,QB,CAR,1995/04/14,Healthy
Cade Mays,G,CAR,1999/04/26,Healthy
Nate McCrary,RB,CAR,1999/04/09,Healthy
DJ Moore,WR,CAR,1997/04/14,Healthy
Taylor Moton,OT,CAR,1994/08/18,Healthy
Giovanni Ricci,FB,CAR,1996/10/16,Out
Andre Roberts,WR,CAR,1988/01/09,Injured Reserve
C.J. Saunders,WR,CAR,1996/09/15,Healthy
Laviska Shenault Jr.,WR,CAR,1998/10/05,Healthy
Shi Smith,WR,CAR,1998/10/26,Healthy
Stephen Sullivan,TE,CAR,1996/11/28,Healthy
Sam Tecklenburg,C,CAR,1997/01/31,Healthy
Ian Thomas,TE,CAR,1996/06/06,Healthy
Colin Thompson,TE,CAR,1993/12/15,Questionable
Tommy Tremble,TE,CAR,2000/06/02,Healthy
PJ Walker,QB,CAR,1995/02/26,Out
Preston Williams,WR,CAR,1997/03/27,Healthy
Derek Wright,WR,CAR,1998/08/13,Healthy
Henry Anderson,DE,CAR,1991/08/03,Out
Amare Barno,DE,CAR,1999/04/26,Healthy
Derrick Brown,DT,CAR,1998/04/15,Healthy
Brian Burns,DE,CAR,1998/04/23,Healthy
Juston Burris,S,CAR,1993/08/04,Healthy
T.J. Carrie,CB,CAR,1990/07/28,Healthy
Sean Chandler,S,CAR,1996/04/27,Healthy
Jeremy Chinn,S,CAR,1998/02/26,Healthy
Sam Franklin Jr.,S,CAR,1996/02/02,Healthy
Yetur Gross-Matos,DE,CAR,1998/02/26,Healthy
Madre Harper,CB,CAR,1997/10/13,Healthy
Myles Hartsfield,CB,CAR,1997/08/05,Out
Tae Hayes,CB,CAR,1997/08/19,Healthy
Marquis Haynes Sr.,DE,CAR,1993/12/16,Healthy
CJ Henderson,CB,CAR,1998/09/30,Healthy
Gavin Heslop,CB,CAR,1997/11/13,Healthy
Jaycee Horn,CB,CAR,1999/11/26,Healthy
Phil Hoskins,DT,CAR,1997/01/02,Healthy
Matt Ioannidis,DT,CAR,1994/01/11,Out
Joel Iyiegbuniwe,LB,CAR,1995/10/12,Healthy
Donte Jackson,CB,CAR,1995/11/08,Injured Reserve
Kobe Jones,DE,CAR,1998/05/10,Healthy
Cory Littleton,LB,CAR,1993/11/18,Out
Frankie Luvu,LB,CAR,1996/09/19,Healthy
Marquan McCall,DT,CAR,1999/03/26,Healthy
Arron Mosby,LB,CAR,1999/04/13,Healthy
Daviyon Nixon,DT,CAR,1998/12/13,Healthy
Kenny Robinson,S,CAR,1999/01/08,Healthy
Bravvion Roy,DT,CAR,1997/10/18,Healthy
Brandon Smith,LB,CAR,2001/04/12,Healthy
Keith Taylor Jr.,CB,CAR,1999/05/03,Healthy
Stantley Thomas-Oliver III,CB,CAR,1998/06/04,Injured Reserve
Shaq Thompson,LB,CAR,1994/04/21,Healthy
Raequan Williams,DT,CAR,1997/02/14,Healthy
Damien Wilson,LB,CAR,1993/05/28,Healthy
Xavier Woods,S,CAR,1995/07/26,Questionable
Chandler Wooten,LB,CAR,1999/04/25,Healthy
Zane Gonzalez,PK,CAR,1995/05/07,Injured Reserve
Johnny Hekker,P,CAR,1990/02/08,Healthy
JJ Jansen,LS,CAR,1986/01/20,Healthy
Eddy Pineiro,PK,CAR,1995/09/13,Healthy
Chase Allen,TE,CHI,1997/07/09,Healthy
Khari Blasingame,FB,CHI,1996/07/01,Healthy
Larry Borom,OT,CHI,1999/03/30,Questionable
Ja'Tyre Carter,G,CHI,1999/01/15,Healthy
Chase Claypool,WR,CHI,1998/07/07,Healthy
Kellen Diesch,OT,CHI,2000/03/28,Healthy
Dakota Dozier,G,CHI,1991/04/30,Injured Reserve
Trestan Ebner,RB,CHI,1999/01/02,Healthy
Dieter Eiselen,G,CHI,1996/06/10,Healthy
Darrynton Evans,RB,CHI,1998/07/09,Healthy
Justin Fields,QB,CHI,1999/03/05,Questionable
Daurice Fountain,WR,CHI,1995/12/22,Healthy
Ryan Griffin,TE,CHI,1990/01/11,Healthy
N'Keal Harry,WR,CHI,1997/12/17,Healthy
Khalil Herbert,RB,CHI,1998/04/21,Injured Reserve
Teven Jenkins,OT,CHI,1998/03/03,Healthy
Braxton Jones,OT,CHI,1999/03/27,Healthy
