Player,Position,Team,Birthday,InjuryStatus
Ka'imi Fairbairn,PK,HOU,1994/01/29,Healthy
Cameron Johnston,P,HOU,1992/02/24,Healthy
Jon Weeks,LS,HOU,1986/02/17,Healthy
Mo Alie-Cox,TE,IND,1993/09/19,Healthy
Parris Campbell,WR,IND,1997/07/16,Healthy
Keke Coutee,WR,IND,1997/01/14,Healthy
Ashton Dulin,WR,IND,1997/05/15,Healthy
Sam Ehlinger,QB,IND,1998/09/30,Healthy
Ethan Fernea,WR,IND,1998/03/02,Healthy
Nick Foles,QB,IND,1989/01/20,Healthy
Wesley French,C,IND,1996/11/30,Healthy
Will Fries,G,IND,1998/04/04,Healthy
Jake Funk,RB,IND,1998/01/11,Healthy
Kylen Granson,TE,IND,1998/03/27,Questionable
Arlington Hambright,G,IND,1996/01/30,Healthy
Deon Jackson,RB,IND,1999/02/18,Healthy
Nikola Kalinic,TE,IND,1997/01/21,Healthy
Dennis Kelly,OT,IND,1990/01/16,Healthy
Ryan Kelly,C,IND,1993/05/30,Healthy
Zack Moss,RB,IND,1997/12/15,Healthy
Jordan Murray,OT,IND,1997/05/17,Healthy
Quenton Nelson,G,IND,1996/03/19,Healthy
Carter O'Donnell,OT,IND,1998/12/23,Injured Reserve
Andrew Ogletree,TE,IND,1998/07/28,Injured Reserve
Dezmon Patmon,WR,IND,1998/08/06,Healthy
Alec Pierce,WR,IND,2000/05/02,Healthy
Danny Pinter,G,IND,1996/06/19,Healthy
Michael Pittman Jr.,WR,IND,1997/10/05,Healthy
D'vonte Price,RB,IND,1999/06/02,Out
Matt Pryor,OT,IND,1994/12/16,Healthy
Bernhard Raimann,OT,IND,1997/09/23,Healthy
Matt Ryan,QB,IND,1985/05/17,Healthy
Braden Smith,OT,IND,1996/03/25,Healthy
Vyncint Smith,WR,IND,1996/06/09,Healthy
Mike Strachan,WR,IND,1997/08/13,Healthy
Jonathan Taylor,RB,IND,1999/01/19,Healthy
Jordan Wilkins,RB,IND,1994/07/18,Healthy
Jelani Woods,TE,IND,1998/10/09,Healthy
Jalen Wydermyer,TE,IND,2000/12/20,Healthy
Darrell Baker Jr.,CB,IND,1998/03/27,Healthy
Ben Banogu,DE,IND,1996/01/19,Healthy
Henry Black,S,IND,1997/01/03,Healthy
Julian Blackmon,S,IND,1998/08/24,Healthy
Curtis Brooks,DT,IND,1998/02/06,Healthy
Tony Brown,CB,IND,1995/07/13,Healthy
DeForest Buckner,DT,IND,1994/03/17,Healthy
Kameron Cline,DE,IND,1998/02/19,Healthy
Byron Cowart,DT,IND,1996/05/20,Healthy
Nick Cross,S,IND,2001/09/10,Healthy
Marcel Dabo,CB,IND,2000/01/10,Healthy
Trevor Denbow,S,IND,1998/08/26,Healthy
JoJo Domann,LB,IND,1997/06/28,Healthy
Brandon Facyson,S,IND,1994/09/08,Healthy
Dallis Flowers,CB,IND,1997/06/04,Healthy
Zaire Franklin,LB,IND,1996/07/02,Healthy
Stephon Gilmore,CB,IND,1990/09/19,Healthy
Eric Johnson,DT,IND,1998/07/16,Healthy
Khalid Kareem,DE,IND,1998/04/28,Healthy
Shaquille Leonard,LB,IND,1995/07/27,Injured Reserve
Tyquan Lewis,DT,IND,1995/01/30,Injured Reserve
Rodney McLeod,S,IND,1990/06/23,Healthy
Kenny Moore II,CB,IND,1995/08/23,Questionable
Yannick Ngakoue,DE,IND,1995/03/31,Healthy
Ifeadi Odenigbo,DE,IND,1994/04/08,Healthy
Dayo Odeyingbo,DE,IND,1999/09/24,Healthy
Bobby Okereke,LB,IND,1996/07/29,Healthy
Segun Olubi,LB,IND,1999/11/01,Healthy
Kwity Paye,DE,IND,1998/11/19,Questionable
Forrest Rhyne,LB,IND,1999/05/29,Healthy
Isaiah Rodgers,CB,IND,1998/01/07,Healthy
E.J. Speed,LB,IND,1995/06/01,Healthy
Grover Stewart,DT,IND,1993/10/20,Healthy
Grant Stuard,LB,IND,1998/10/15,Healthy
Rodney Thomas II,S,IND,1998/06/26,Healthy
Armani Watts,S,IND,1996/03/19,Injured Reserve
Chris Williams,DT,IND,1998/06/16,Healthy
Matt Haack,P,IND,1994/07/25,Healthy
Chase McLaughlin,PK,IND,1996/04/09,Healthy
Luke Rhodes,LS,IND,1992/12/02,Healthy
Rigoberto Sanchez,P,IND,1994/09/08,Injured Reserve
Jamal Agnew,WR,JAX,1995/04/03,Healthy
Dan Arnold,TE,JAX,1995/03/15,Healthy
Kevin Austin Jr.,WR,JAX,2000/03/30,Healthy
Ben Bartch,OT,JAX,1998/07/22,Injured Reserve
C.J. Beathard,QB,JAX,1993/11/16,Healthy
Snoop Conner,RB,JAX,2000/08/01,Healthy
Coy Cronk,OT,JAX,1998/01/18,Healthy
Evan Engram,TE,JAX,1994/09/02,Healthy
Travis Etienne Jr.,RB,JAX,1999/01/26,Questionable
Luke Farrell,TE,JAX,1997/10/14,Healthy
Luke Fortner,C,JAX,1998/05/15,Healthy
Blake Hance,G,JAX,1996/01/11,Healthy
JaMycal Hasty,RB,JAX,1996/09/12,Healthy
Darrell Henderson Jr.,RB,JAX,1997/08/19,Healthy
Willie Johnson,WR,JAX,1996/12/23,Injured Reserve
Tim Jones,WR,JAX,1998/05/15,Healthy
Zay Jones,WR,JAX,1995/03/30,Healthy
Marvin Jones Jr.,WR,JAX,1990/03/12,Healthy
Christian Kirk,WR,JAX,1996/11/18,Healthy
Trevor Lawrence,QB,JAX,1999/10/06,Healthy
Walker Little,OT,JAX,1999/04/01,Healthy
Chris Manhertz,TE,JAX,1992/04/10,Healthy
Jaylon Moore,WR,JAX,1997/07/01,Healthy
James Murray,C,JAX,1995/05/05,Healthy
E.J. Perry,QB,JAX,1998/01/01,Healthy
Gerrit Prince,TE,JAX,1997/08/25,Healthy
Kendric Pryor,WR,JAX,1998/01/06,Healthy
Calvin Ridley,WR,JAX,1994/12/20,Suspension
Cam Robinson,OT,JAX,1995/10/09,Healthy
Mekhi Sargent,RB,JAX,1997/10/08,Healthy
Brandon Scherff,G,JAX,1991/12/26,Healthy
Tyler Shatley,C,JAX,1991/05/05,Healthy
Jawaan Taylor,OT,JAX,1997/11/25,Healthy
Cole Van Lanen,OT,JAX,1998/04/23,Healthy
Darryl Williams,C,JAX,1997/06/10,Healthy
Seth Williams,WR,JAX,2000/04/10,Healthy
Josh Allen,LB,JAX,1997/07/13,Healthy
Rashod Berry,LB,JAX,1996/10/14,Healthy
Montaric Brown,CB,JAX,1999/08/24,Healthy
Tevaughn Campbell,CB,JAX,1993/06/14,Healthy
Tyson Campbell,CB,JAX,2000/03/17,Healthy
K'Lavon Chaisson,LB,JAX,1999/07/25,Injured Reserve
Andre Cisco,S,JAX,2000/03/23,Healthy
Chris Claybrooks,CB,JAX,1997/07/17,Healthy
De'Shaan Dixon,DE,JAX,1998/12/16,Healthy
Folorunso Fatukasi,DT,JAX,1995/03/04,Healthy
Tyree Gillespie,S,JAX,1997/09/05,Healthy
Adam Gotsis,DE,JAX,1992/09/23,Healthy
Shaquill Griffin,CB,JAX,1995/07/20,Injured Reserve
DaVon Hamilton,DT,JAX,1997/02/01,Healthy
Tre Herndon,CB,JAX,1996/03/05,Healthy
Rayshawn Jenkins,S,JAX,1994/01/25,Healthy
Caleb Johnson,LB,JAX,1998/07/28,Healthy
Gregory Junior,CB,JAX,1999/06/21,Healthy
Arden Key,DE,JAX,1996/05/03,Healthy
Devin Lloyd,LB,JAX,1998/09/30,Healthy
Chad Muma,LB,JAX,1999/08/18,Healthy
Foyesade Oluokun,LB,JAX,1995/08/02,Healthy
Ayo Oyelola,S,JAX,1998/10/19,Healthy
Corey Peters,DT,JAX,1988/06/08,Healthy
Shaquille Quarterman,LB,JAX,1997/10/28,Healthy
Roy Robertson-Harris,DE,JAX,1993/07/23,Healthy
Jordan Smith,DE,JAX,1998/04/10,Injured Reserve
Dawuane Smoot,DE,JAX,1995/03/02,Healthy
Ty Summers,LB,JAX,1995/12/31,Healthy
Daniel Thomas,S,JAX,1998/07/01,Healthy
Deionte Thompson,S,JAX,1997/02/11,Healthy
Nick Thurman,DE,JAX,1995/06/12,Healthy
Travon Walker,LB,JAX,2000/12/18,Healthy
Darious Williams,CB,JAX,1993/03/15,Healthy
Andrew Wingard,S,JAX,1996/12/05,Healthy
Logan Cooke,P,JAX,1995/07/28,Healthy
Ross Matiscik,LS,JAX,1996/09/13,Healthy
James McCourt,PK,JAX,1997/11/09,Healthy
Riley Patterson,PK,JAX,1999/09/07,Healthy
Nick Allegretti,G,KC,1996/04/21,Healthy
Blake Bell,TE,KC,1991/08/07,Injured Reserve
Kendall Blanton,TE,KC,1995/11/10,Healthy
Orlando Brown Jr.,OT,KC,1996/05/02,Healthy
Shane Buechele,QB,KC,1998/01/08,Healthy
Michael Burton,FB,KC,1992/02/01,Healthy
Geron Christian,OT,KC,1996/09/10,Healthy
Bryan Edwards,WR,KC,1998/11/13,Healthy
Clyde Edwards-Helaire,RB,KC,1999/04/11,Injured Reserve
Jody Fortson,TE,KC,1995/12/07,Healthy
Wayne Gallman,RB,KC,1994/10/01,Healthy
Melvin Gordon III,RB,KC,1993/04/13,Healthy
Noah Gray,TE,KC,1999/04/30,Healthy
Mecole Hardman,WR,KC,1998/03/12,Injured Reserve
Chad Henne,QB,KC,1985/07/02,Healthy
Creed Humphrey,C,KC,1999/06/28,Healthy
Ronald Jones,RB,KC,1997/08/03,Healthy
Travis Kelce,TE,KC,1989/10/05,Healthy
Marcus Kemp,WR,KC,1995/08/14,Healthy
Darian Kinnard,OT,KC,1999/12/29,Healthy
Patrick Mahomes,QB,KC,1995/09/17,Healthy
Jerick McKinnon,RB,KC,1992/05/03,Healthy
Skyy Moore,WR,KC,2000/09/10,Healthy
Lucas Niang,OT,KC,1998/08/19,Healthy
Chris Oladokun,QB,KC,1997/09/03,Healthy
Isiah Pacheco,RB,KC,1999/03/02,Healthy
Cornell Powell,WR,KC,1997/10/30,Healthy
Justyn Ross,WR,KC,1999/12/15,Injured Reserve
Trey Smith,G,KC,1999/06/16,Healthy
Ihmir Smith-Marsette,WR,KC,1999/08/29,Healthy
JuJu Smith-Schuster,WR,KC,1996/11/22,Healthy
Joe Thuney,G,KC,1992/11/18,Questionable
Kadarius Toney,WR,KC,1999/01/27,Questionable
Marquez Valdes-Scantling,WR,KC,1994/10/10,Healthy
Prince Tega Wanogho,OT,KC,1997/11/22,Healthy
Justin Watson,WR,KC,1996/04/04,Healthy
Andrew Wylie,G,KC,1994/08/19,Healthy
Ugo Amadi,S,KC,1997/05/16,Healthy
Zayne Anderson,S,KC,1997/01/03,Healthy
Nick Bolton,LB,KC,2000/03/10,Healthy
Dicaprio Bootle,CB,KC,1997/09/17,Healthy
Deon Bush,S,KC,1993/08/14,Healthy
Leo Chenal,LB,KC,2000/10/26,Healthy
Cole Christiansen,LB,KC,1997/07/30,Healthy
Frank Clark,DE,KC,1993/06/17,Healthy
Jack Cochrane,LB,KC,1999/02/09,Healthy
Bryan Cook,S,KC,1999/09/07,Healthy
Mike Danna,DE,KC,1997/12/01,Healthy
Carlos Dunlap,DE,KC,1989/02/28,Healthy
Willie Gay,LB,KC,1998/02/15,Healthy
Darius Harris,LB,KC,1996/01/17,Healthy
Malik Herring,DE,KC,1997/11/09,Healthy
Nazeeh Johnson,S,KC,1998/07/17,Healthy
Chris Jones,DT,KC,1994/07/03,Healthy
Joshua Kaindoh,DE,KC,1998/12/27,Healthy
George Karlaftis,DE,KC,2001/04/03,Healthy
Chris Lammons,CB,KC,1996/01/31,Healthy
Elijah Lee,LB,KC,1996/02/05,Healthy
Trent McDuffie,CB,KC,2000/09/13,Healthy
Derrick Nnadi,DT,KC,1996/05/09,Healthy
Justin Reid,S,KC,1997/02/15,Healthy
Khalen Saunders,DT,KC,1996/08/09,Healthy
L'Jarius Sneed,CB,KC,1997/01/21,Healthy
Taylor Stallworth,DT,KC,1995/08/18,Healthy
Juan Thornhill,S,KC,1995/10/19,Questionable
Jaylen Watson,CB,KC,1998/09/17,Healthy
Tershawn Wharton,DT,KC,1998/06/25,Injured Reserve
Joshua Williams,CB,KC,1999/10/17,Healthy
Harrison Butker,PK,KC,1995/07/14,Healthy
Tommy Townsend,P,KC,1996/11/12,Healthy
James Winchester,LS,KC,1989/08/06,Healthy
Ameer Abdullah,RB,LV,1993/06/13,Healthy
Davante Adams,WR,LV,1992/12/24,Healthy
Alex Bars,G,LV,1995/09/08,Healthy
Jackson Barton,OT,LV,1995/08/08,Healthy
Brandon Bolden,RB,LV,1990/01/26,Questionable
Brittain Brown,RB,LV,1997/10/10,Healthy
Derek Carr,QB,LV,1991/03/28,Healthy
Keelan Cole,WR,LV,1993/04/20,Healthy
Lester Cotton Sr.,G,LV,1996/02/20,Healthy
Jermaine Eluemunor,G,LV,1994/12/13,Healthy
Vitaliy Gurman,G,LV,1998/08/04,Out
Sebastian Gutierrez,OT,LV,1998/07/06,Healthy
Justin Herron,OT,LV,1995/11/27,Injured Reserve
Mack Hollins,WR,LV,1993/09/16,Healthy
Jacob Hollister,TE,LV,1993/11/18,Healthy
Jesper Horsted,TE,LV,1997/02/27,Questionable
Josh Jacobs,RB,LV,1998/02/11,Questionable
Andre James,C,LV,1997/05/02,Healthy
Jakob Johnson,FB,LV,1994/12/15,Healthy
Sincere McCormick,RB,LV,2000/09/10,Injured Reserve
Kolton Miller,OT,LV,1995/09/02,Healthy
Foster Moreau,TE,LV,1997/05/06,Healthy
Thayer Munford Jr.,OT,LV,1999/09/18,Healthy
Dylan Parham,G,LV,1999/08/24,Healthy
Brandon Parker,OT,LV,1995/10/21,Injured Reserve
Hunter Renfrow,WR,LV,1995/12/21,Injured Reserve
John Simpson,G,LV,1997/08/19,Healthy
Jarrett Stidham,QB,LV,1996/08/08,Healthy
Dillon Stoner,WR,LV,1998/02/06,Out
DJ Turner,WR,LV,1997/01/18,Healthy
Malik Turner,WR,LV,1996/01/30,Healthy
Darren Waller,TE,LV,1992/09/13,Injured Reserve
Zamir White,RB,LV,1999/09/18,Healthy
Albert Wilson,WR,LV,1992/07/12,Healthy
Anthony Averett,CB,LV,1994/11/30,Injured Reserve
Andrew Billings,DT,LV,1995/03/06,Questionable
Curtis Bolton,LB,LV,1995/12/18,Healthy
Tashawn Bower,DE,LV,1995/02/18,Healthy
Jayon Brown,LB,LV,1995/02/26,Healthy
Darien Butler,LB,LV,2000/02/29,Healthy
Matthew Butler,DT,LV,1999/06/10,Healthy
Bryce Cosby,CB,LV,1999/03/22,Healthy
Maxx Crosby,DE,LV,1997/08/22,Healthy
Divine Deablo,LB,LV,1998/08/17,Injured Reserve
Jalen Elliott,S,LV,1998/07/07,Healthy
Matthias Farley,S,LV,1992/07/15,Healthy
Neil Farrell Jr.,DT,LV,1998/09/09,Healthy
Clelin Ferrell,DE,LV,1997/05/17,Healthy
Tyler Hall,CB,LV,1998/10/31,Healthy
Duron Harmon,S,LV,1991/01/24,Healthy
Nate Hobbs,CB,LV,1999/06/24,Injured Reserve
Jordan Jenkins,DE,LV,1994/07/01,Injured Reserve
Chandler Jones,DE,LV,1990/02/27,Healthy
Sidney Jones IV,CB,LV,1996/05/21,Healthy
Micah Kiser,LB,LV,1995/01/25,Injured Reserve
Malcolm Koonce,DE,LV,1998/06/06,Healthy
Luke Masterson,LB,LV,1998/01/07,Healthy
Tre'von Moehrig,S,LV,1999/06/16,Healthy
Bilal Nichols,DT,LV,1996/09/14,Healthy
Kyle Peko,DT,LV,1993/07/23,Healthy
Denzel Perryman,LB,LV,1992/12/05,Healthy
Isaiah Pola-Mao,S,LV,1999/06/30,Healthy
Reggie Ragland,LB,LV,1993/09/24,Healthy
Amik Robertson,CB,LV,1998/07/06,Healthy
Nickell Robey-Coleman,CB,LV,1992/01/17,Healthy
Roderic Teamer,S,LV,1997/05/12,Healthy
Jerry Tillery,DT,LV,1996/10/08,Healthy
Kendal Vickers,DT,LV,1995/05/23,Questionable
Sam Webb,CB,LV,1998/05/19,Healthy
Rock Ya-Sin,CB,LV,1996/05/23,Healthy
Daniel Carlson,PK,LV,1995/01/23,Healthy
AJ Cole,P,LV,1995/11/27,Healthy
Trent Sieg,LS,LV,1995/05/19,Healthy
Keenan Allen,WR,LAC,1992/04/27,Healthy
Zack Bailey,OT,LAC,1995/11/08,Healthy
Michael Bandy,WR,LAC,1997/12/05,Healthy
DeAndre Carter,WR,LAC,1993/04/10,Healthy
Will Clapp,C,LAC,1996/09/19,Healthy
Chase Daniel,QB,LAC,1986/10/07,Healthy
Keelan Doss,WR,LAC,1996/03/21,Healthy
Austin Ekeler,RB,LAC,1995/05/17,Healthy
Gerald Everett,TE,LAC,1994/06/25,Healthy
Matt Feiler,G,LAC,1992/07/07,Healthy
Jalen Guyton,WR,LAC,1997/06/07,Injured Reserve
Justin Herbert,QB,LAC,1998/03/10,Healthy
John Hightower,WR,LAC,1996/05/31,Healthy
Zander Horvath,FB,LAC,1998/12/10,Healthy
Brenden Jaimes,G,LAC,1999/05/28,Healthy
Zion Johnson,G,LAC,1999/11/18,Healthy
Hunter Kampmoyer,TE,LAC,1998/02/06,Healthy
Joshua Kelley,RB,LAC,1997/11/20,Healthy
Corey Linsley,C,LAC,1991/07/27,Questionable
Tre' McKitty,TE,LAC,1999/01/12,Healthy
Sony Michel,RB,LAC,1995/02/17,Healthy
Jason Moore Jr.,WR,LAC,1995/06/23,Healthy
Storm Norton,OT,LAC,1994/05/16,Healthy
Joshua Palmer,WR,LAC,1999/09/22,Healthy
Donald Parham Jr.,TE,LAC,1997/08/16,Injured Reserve
Trey Pipkins III,OT,LAC,1996/09/05,Questionable
Austen Pleasants,OT,LAC,1997/08/22,Healthy
Joe Reed,WR,LAC,1998/01/04,Healthy
Richard Rodgers,TE,LAC,1992/01/22,Healthy
Jamaree Salyer,G,LAC,2000/07/13,Healthy
Foster Sarell,OT,LAC,1998/08/28,Healthy
Rashawn Slater,OT,LAC,1999/03/26,Injured Reserve
Stone Smartt,TE,LAC,1998/10/04,Healthy
Isaiah Spiller,RB,LAC,2001/08/09,Healthy
Easton Stick,QB,LAC,1995/09/15,Healthy
Sage Surratt,TE,LAC,1998/04/13,Questionable
Andrew Trainer,OT,LAC,1997/12/18,Injured Reserve
Isaac Weaver,C,LAC,1998/02/14,Injured Reserve
Mike Williams,WR,LAC,1994/10/04,Questionable
Nasir Adderley,S,LAC,1997/05/31,Questionable
Joey Bosa,LB,LAC,1995/07/11,Injured Reserve
Bryce Callahan,CB,LAC,1991/10/23,Healthy
Christian Covington,DT,LAC,1993/10/16,Injured Reserve
Michael Davis,CB,LAC,1995/01/06,Healthy
Tyeler Davison,DT,LAC,1992/09/03,Healthy
Breiden Fehoko,DT,LAC,1996/10/15,Healthy
Morgan Fox,DE,LAC,1994/09/12,Healthy
Joe Gaziano,DE,LAC,1996/09/27,Healthy
Alohi Gilman,S,LAC,1997/09/17,Healthy
Kemon Hall,CB,LAC,1997/06/02,Healthy
Christopher Hinton,DT,LAC,2000/09/14,Healthy
J.C. Jackson,CB,LAC,1995/11/17,Injured Reserve
Michael Jacquet,CB,LAC,1997/01/29,Healthy
Derwin James Jr.,S,LAC,1996/08/03,Healthy
Austin Johnson,DT,LAC,1994/05/08,Injured Reserve
Sebastian Joseph-Day,DT,LAC,1995/03/21,Healthy
Carlo Kemp,LB,LAC,1998/01/01,Healthy
Raheem Layne,S,LAC,1999/07/02,Healthy
Deane Leonard,CB,LAC,1999/11/20,Healthy
Damon Lloyd,LB,LAC,1998/05/08,Healthy
Khalil Mack,LB,LAC,1991/02/22,Healthy
Tyreek Maddox-Williams,LB,LAC,1997/10/28,Healthy
Forrest Merrill,DT,LAC,1996/08/15,Injured Reserve
David Moa,DT,LAC,1996/06/14,Healthy
Kenneth Murray Jr.,LB,LAC,1998/11/16,Healthy
Nick Niemann,LB,LAC,1997/12/02,Healthy
Amen Ogbongbemiga,LB,LAC,1998/09/04,Healthy
Otito Ogbonnia,DT,LAC,2000/08/25,Injured Reserve
Troy Reeder,LB,LAC,1994/09/13,Healthy
Chris Rumph II,LB,LAC,1998/10/19,Healthy
Asante Samuel Jr.,CB,LAC,1999/10/03,Healthy
Ty Shelby,LB,LAC,1998/10/14,Questionable
Ja'Sir Taylor,CB,LAC,1999/01/08,Healthy
Drue Tranquill,LB,LAC,1995/08/15,Healthy
Derrek Tuszka,LB,LAC,1997/07/11,Healthy
Kyle Van Noy,LB,LAC,1991/03/26,Healthy
Mark Webb Jr.,S,LAC,1998/09/10,Questionable
JT Woods,S,LAC,2000/06/10,Healthy
Taylor Bertolet,PK,LAC,1992/10/24,Out
Cameron Dicker,PK,LAC,2000/05/06,Healthy
Josh Harris,LS,LAC,1989/04/27,Healthy
Dustin Hopkins,PK,LAC,1990/10/01,Injured Reserve
JK Scott,P,LAC,1995/10/30,Healthy
Oday Aboushi,G,LAR,1991/06/05,Healthy
Cam Akers,RB,LAR,1999/06/22,Healthy
Brian Allen,C,LAR,1995/10/11,Questionable
Tremayne Anchrum Jr.,OT,LAR,1998/06/24,Injured Reserve
AJ Arcuri,OT,LAR,1997/08/13,Healthy
Tutu Atwell,WR,LAR,1999/10/07,Healthy
Chandler Brewer,OT,LAR,1997/06/12,Injured Reserve
Malcolm Brown,RB,LAR,1993/05/15,Healthy
Logan Bruss,G,LAR,1999/10/06,Injured Reserve
Roger Carter Jr.,TE,LAR,1999/03/31,Healthy
Case Cookus,QB,LAR,1995/10/06,Healthy
David Edwards,G,LAR,1997/03/20,Injured Reserve
Bobby Evans,OT,LAR,1997/03/24,Healthy
Jacob Harris,WR,LAR,1997/04/16,Healthy
Rob Havenstein,OT,LAR,1992/05/13,Healthy
Tyler Higbee,TE,LAR,1993/01/01,Healthy
Brycen Hopkins,TE,LAR,1997/03/27,Healthy
AJ Jackson,OT,LAR,1998/07/14,Injured Reserve
Warren Jackson,WR,LAR,1999/06/16,Questionable
Van Jefferson,WR,LAR,1996/07/26,Healthy
Jeremiah Kolone,G,LAR,1994/10/23,Healthy
J.J. Koski,WR,LAR,1996/12/27,Injured Reserve
Cooper Kupp,WR,LAR,1993/06/15,Injured Reserve
Lance McCutcheon,WR,LAR,1999/02/28,Questionable
Joe Noteboom,OT,LAR,1995/06/19,Injured Reserve
Ty Nsekhe,OT,LAR,1985/10/27,Questionable
Bryce Perkins,QB,LAR,1996/12/20,Healthy
Jared Pinkney,TE,LAR,1997/08/21,Healthy
Max Pircher,OT,LAR,1999/09/07,Healthy
Brandon Powell,WR,LAR,1995/09/12,Healthy
Ronnie Rivers,RB,LAR,1999/01/31,Healthy
Allen Robinson II,WR,LAR,1993/08/24,Injured Reserve
Coleman Shelton,C,LAR,1995/07/28,Healthy
Ben Skowronek,WR,LAR,1997/06/27,Healthy
Matt Skura,C,LAR,1993/02/17,Healthy
Matthew Stafford,QB,LAR,1988/02/07,Questionable
Zach Thomas,OT,LAR,1998/05/26,Healthy
Cole Toner,G,LAR,1994/03/13,Healthy
Austin Trammell,WR,LAR,1998/07/04,Healthy
Kyren Williams,RB,LAR,2000/08/26,Healthy
John Wolford,QB,LAR,1995/10/16,Healthy
Bobby Brown III,DT,LAR,2000/08/07,Healthy
Earnest Brown IV,DE,LAR,1999/01/08,Healthy
T.J. Carter,DE,LAR,1998/09/15,Healthy
TJ Carter,CB,LAR,1999/04/03,Healthy
Marquise Copeland,DT,LAR,1997/05/09,Healthy
Aaron Donald,DT,LAR,1991/05/23,Questionable
Cobie Durant,CB,LAR,1998/02/09,Healthy
Leonard Floyd,LB,LAR,1992/09/08,Healthy
Jordan Fuller,S,LAR,1998/03/04,Injured Reserve
Greg Gaines,DT,LAR,1996/05/06,Healthy
Elijah Garcia,DT,LAR,1998/03/11,Healthy
Jake Gervase,LB,LAR,1995/09/18,Healthy
Grant Haley,CB,LAR,1996/01/06,Injured Reserve
Daniel Hardy,LB,LAR,1998/12/15,Injured Reserve
Troy Hill,CB,LAR,1991/08/29,Healthy
Michael Hoecht,DT,LAR,1997/10/05,Healthy
Travin Howard,LB,LAR,1996/05/10,Questionable
Jake Hummel,LB,LAR,1999/01/04,Injured Reserve
Shaun Jolly,CB,LAR,1998/10/17,Healthy
Ernest Jones,LB,LAR,1999/11/22,Healthy
Derion Kendrick,CB,LAR,2000/08/24,Healthy
Quentin Lake,S,LAR,1999/01/29,Healthy
Terrell Lewis,LB,LAR,1998/08/25,Healthy
David Long Jr.,CB,LAR,1998/02/06,Healthy
Jalen Ramsey,CB,LAR,1994/10/24,Healthy
Taylor Rapp,S,LAR,1997/12/22,Healthy
A'Shawn Robinson,DT,LAR,1995/03/21,Injured Reserve
Robert Rochell,CB,LAR,1998/04/26,Healthy
Christian Rozeboom,LB,LAR,1997/01/30,Healthy
Nick Scott,S,LAR,1995/05/17,Healthy
Brayden Thomas,LB,LAR,1998/03/20,Healthy
Keir Thomas,LB,LAR,1998/01/25,Healthy
Zach VanValkenburg,DE,LAR,1998/02/17,Healthy
Bobby Wagner,LB,LAR,1990/06/27,Healthy
Jonah Williams,DT,LAR,1995/08/17,Healthy
Russ Yeast,S,LAR,1999/05/08,Healthy
Riley Dixon,P,LAR,1993/08/24,Healthy
Matt Gay,PK,LAR,1994/03/15,Healthy
Matthew Orzech,LS,LAR,1995/04/12,Healthy
Salvon Ahmed,RB,MIA,1998/12/30,Healthy
Terron Armstead,OT,MIA,1991/07/23,Out
Jake Bargas,FB,MIA,1996/11/28,Healthy
Teddy Bridgewater,QB,MIA,1992/11/10,Questionable
Cethan Carter,TE,MIA,1995/09/05,Injured Reserve
Tanner Conner,TE,MIA,1998/03/20,Healthy
River Cracraft,WR,MIA,1994/11/01,Healthy
Michael Deiter,G,MIA,1996/09/03,Healthy
Liam Eichenberg,OT,MIA,1998/01/19,Injured Reserve
James Empey,C,MIA,1996/10/27,Healthy
Erik Ezukanma,WR,MIA,2000/01/25,Healthy
Lamont Gaillard,C,MIA,1996/02/08,Healthy
Myles Gaskin,RB,MIA,1997/02/15,Healthy
Mike Gesicki,TE,MIA,1995/10/03,Healthy
Tyreek Hill,WR,MIA,1994/03/01,Questionable
Robert Hunt,OT,MIA,1996/08/25,Healthy
Alec Ingold,FB,MIA,1996/07/09,Healthy
Austin Jackson,G,MIA,1999/08/11,Questionable
Robert Jones,G,MIA,1999/01/28,Healthy
Kendall Lamm,OT,MIA,1992/06/05,Healthy
Greg Little,OT,MIA,1997/11/04,Healthy
Hunter Long,TE,MIA,1998/08/19,Healthy
John Lovett,FB,MIA,1996/04/25,Injured Reserve
Raheem Mostert,RB,MIA,1992/04/09,Questionable
La'Mical Perine,RB,MIA,1998/01/30,Healthy
Braylon Sanders,WR,MIA,1999/01/21,Healthy
Adam Shaheen,TE,MIA,1994/10/24,Injured Reserve
Brandon Shell,OT,MIA,1992/02/06,Healthy
Trent Sherfield,WR,MIA,1996/02/25,Healthy
Kion Smith,OT,MIA,1998/10/07,Healthy
Durham Smythe,TE,MIA,1995/08/09,Healthy
Freddie Swain,WR,MIA,1998/08/04,Healthy
Tua Tagovailoa,QB,MIA,1998/03/02,Healthy
Skylar Thompson,QB,MIA,1997/06/04,Healthy
Jaylen Waddle,WR,MIA,1998/11/25,Healthy
Connor Williams,G,MIA,1997/05/12,Healthy
Cedrick Wilson Jr.,WR,MIA,1995/03/10,Healthy
Jeff Wilson Jr.,RB,MIA,1996/11/16,Healthy
Jerome Baker,LB,MIA,1996/12/25,Healthy
Kalon Barnes,CB,MIA,1998/12/16,Healthy
Justin Bethel,CB,MIA,1990/06/17,Healthy
Josiah Bronson,DT,MIA,1997/07/03,Healthy
Elijah Campbell,S,MIA,1995/08/24,Healthy
Bradley Chubb,LB,MIA,1996/06/24,Healthy
Keion Crossen,CB,MIA,1996/04/17,Healthy
Raekwon Davis,DT,MIA,1997/08/21,Healthy
